date,product_name,category,season,market_demand,weather_impact,base_price,price,month,year,day_of_year
2022-01-01,Tomatoes,Vegetables,Spring,low,medium,87.41722139252525,65.86,1,2022,1
2022-01-01,Potatoes,Vegetables,Spring,high,low,127.7585271554666,146.93,1,2022,1
2022-01-01,Onions,Vegetables,Spring,low,high,30.455050190275905,19.23,1,2022,1
2022-01-01,Carrots,Vegetables,Spring,low,low,137.1599251307935,108.87,1,2022,1
2022-01-01,Spinach,Vegetables,Spring,medium,high,188.93948762283503,176.41,1,2022,1
2022-01-01,Apples,Fruits,Spring,medium,low,131.14667173298898,112.31,1,2022,1
2022-01-01,Bananas,Fruits,Spring,high,medium,24.151236507454836,27.69,1,2022,1
2022-01-01,Oranges,Fruits,Spring,high,low,28.39981937845078,32.2,1,2022,1
2022-01-01,Mangoes,Fruits,Spring,high,high,131.3094816799557,147.78,1,2022,1
2022-01-01,Grapes,Fruits,Spring,high,medium,28.361074289599593,31.0,1,2022,1
2022-01-01,Rice,Grains,Spring,low,high,31.70928673735031,21.84,1,2022,1
2022-01-01,Wheat,Grains,Spring,medium,none,89.3749704571849,84.56,1,2022,1
2022-01-01,Corn,Grains,Spring,high,high,63.38458388468211,69.97,1,2022,1
2022-01-01,Barley,Grains,Spring,medium,none,26.18993380073931,24.93,1,2022,1
2022-01-01,Oats,Grains,Spring,medium,low,139.25401118371676,132.82,1,2022,1
2022-01-01,Milk,Dairy,Spring,medium,none,118.40785028179033,129.53,1,2022,1
2022-01-01,Cheese,Dairy,Spring,medium,low,159.52390820500062,163.51,1,2022,1
2022-01-01,Butter,Dairy,Spring,high,high,127.62199618599533,143.01,1,2022,1
2022-01-01,Yogurt,Dairy,Spring,medium,high,113.75016680464826,103.35,1,2022,1
2022-01-01,Cream,Dairy,Spring,high,none,154.51761982472857,204.36,1,2022,1
2022-01-01,Chicken,Meat,Spring,low,none,193.74595530754485,148.68,1,2022,1
2022-01-01,Beef,Meat,Spring,low,medium,49.74804903134045,35.27,1,2022,1
2022-01-01,Pork,Meat,Spring,high,medium,91.07867327160255,100.14,1,2022,1
2022-01-01,Fish,Meat,Spring,high,none,148.041551494757,196.53,1,2022,1
2022-01-01,Lamb,Meat,Spring,medium,none,186.73415813240283,202.23,1,2022,1
2022-01-08,Tomatoes,Vegetables,Spring,medium,none,173.00694400216386,157.91,1,2022,8
2022-01-08,Potatoes,Vegetables,Spring,low,medium,75.9768179088192,55.7,1,2022,8
2022-01-08,Onions,Vegetables,Spring,high,none,69.44992273821154,88.17,1,2022,8
2022-01-08,Carrots,Vegetables,Spring,high,none,194.90817717003867,264.62,1,2022,8
2022-01-08,Spinach,Vegetables,Spring,medium,medium,62.477285554812035,51.06,1,2022,8
2022-01-08,Apples,Fruits,Spring,medium,low,147.91932014344172,138.82,1,2022,8
2022-01-08,Bananas,Fruits,Spring,high,none,56.30945642037132,70.48,1,2022,8
2022-01-08,Oranges,Fruits,Spring,medium,none,111.5427244096465,105.95,1,2022,8
2022-01-08,Mangoes,Fruits,Spring,high,none,93.86892614641336,115.41,1,2022,8
2022-01-08,Grapes,Fruits,Spring,high,medium,33.85638376918274,36.93,1,2022,8
2022-01-08,Rice,Grains,Spring,low,low,187.34557742166317,146.18,1,2022,8
2022-01-08,Wheat,Grains,Spring,medium,low,176.86290623378918,169.34,1,2022,8
2022-01-08,Corn,Grains,Spring,low,medium,165.33922792953126,128.73,1,2022,8
2022-01-08,Barley,Grains,Spring,high,low,68.98380488923436,76.68,1,2022,8
2022-01-08,Oats,Grains,Spring,high,medium,83.46239414015042,91.1,1,2022,8
2022-01-08,Milk,Dairy,Spring,medium,none,116.13609548757955,120.61,1,2022,8
2022-01-08,Cheese,Dairy,Spring,high,medium,68.49422008373386,77.3,1,2022,8
2022-01-08,Butter,Dairy,Spring,low,high,113.38231191380589,75.0,1,2022,8
2022-01-08,Yogurt,Dairy,Spring,medium,medium,194.92077488977293,175.33,1,2022,8
2022-01-08,Cream,Dairy,Spring,low,high,74.15809576701854,45.76,1,2022,8
2022-01-08,Chicken,Meat,Spring,medium,high,129.72158011638143,100.37,1,2022,8
2022-01-08,Beef,Meat,Spring,low,none,70.15636356259006,53.2,1,2022,8
2022-01-08,Pork,Meat,Spring,medium,high,46.08107697642016,39.58,1,2022,8
2022-01-08,Fish,Meat,Spring,high,medium,126.68541029829083,144.36,1,2022,8
2022-01-08,Lamb,Meat,Spring,medium,high,63.58878888993666,53.73,1,2022,8
2022-01-15,Tomatoes,Vegetables,Spring,medium,medium,197.01616536107173,188.54,1,2022,15
2022-01-15,Potatoes,Vegetables,Spring,low,high,163.7021224972192,111.5,1,2022,15
2022-01-15,Onions,Vegetables,Spring,high,high,145.24630522235873,154.91,1,2022,15
2022-01-15,Carrots,Vegetables,Spring,medium,medium,59.643388561798695,57.0,1,2022,15
2022-01-15,Spinach,Vegetables,Spring,high,high,82.7598777125113,99.51,1,2022,15
2022-01-15,Apples,Fruits,Spring,high,low,91.56296379575402,120.72,1,2022,15
2022-01-15,Bananas,Fruits,Spring,low,none,141.62422106707055,106.71,1,2022,15
2022-01-15,Oranges,Fruits,Spring,medium,medium,117.46063528896185,99.98,1,2022,15
2022-01-15,Mangoes,Fruits,Spring,low,high,51.49188687726851,35.22,1,2022,15
2022-01-15,Grapes,Fruits,Spring,medium,high,63.5334123620813,54.63,1,2022,15
2022-01-15,Rice,Grains,Spring,high,none,178.87454177408114,222.25,1,2022,15
2022-01-15,Wheat,Grains,Spring,high,high,146.06440939509883,173.9,1,2022,15
2022-01-15,Corn,Grains,Spring,high,none,160.3775982543723,194.38,1,2022,15
2022-01-15,Barley,Grains,Spring,medium,medium,181.73975393487427,159.39,1,2022,15
2022-01-15,Oats,Grains,Spring,low,none,189.22401964240012,144.84,1,2022,15
2022-01-15,Milk,Dairy,Spring,medium,low,74.96549486199082,70.48,1,2022,15
2022-01-15,Cheese,Dairy,Spring,low,high,199.00234326994772,128.21,1,2022,15
2022-01-15,Butter,Dairy,Spring,high,medium,78.57194566866819,94.83,1,2022,15
2022-01-15,Yogurt,Dairy,Spring,high,medium,122.29554860038489,146.99,1,2022,15
2022-01-15,Cream,Dairy,Spring,medium,low,65.08312734900514,67.75,1,2022,15
2022-01-15,Chicken,Meat,Spring,high,medium,107.61358753270191,133.33,1,2022,15
2022-01-15,Beef,Meat,Spring,high,high,110.47467675893458,130.97,1,2022,15
2022-01-15,Pork,Meat,Spring,high,high,61.43334828347995,61.43,1,2022,15
2022-01-15,Fish,Meat,Spring,low,high,136.18501326329022,100.76,1,2022,15
2022-01-15,Lamb,Meat,Spring,low,low,191.70714386046572,141.91,1,2022,15
2022-01-22,Tomatoes,Vegetables,Spring,low,none,22.782190975196137,18.42,1,2022,22
2022-01-22,Potatoes,Vegetables,Spring,low,high,123.0126444507509,80.21,1,2022,22
2022-01-22,Onions,Vegetables,Spring,high,none,89.31759114834655,111.86,1,2022,22
2022-01-22,Carrots,Vegetables,Spring,low,low,50.50869440349665,41.74,1,2022,22
2022-01-22,Spinach,Vegetables,Spring,medium,high,145.28536340149515,116.3,1,2022,22
2022-01-22,Apples,Fruits,Spring,high,low,140.80583302832912,165.35,1,2022,22
2022-01-22,Bananas,Fruits,Spring,medium,none,73.15230591540897,78.25,1,2022,22
2022-01-22,Oranges,Fruits,Spring,medium,high,44.59183965956519,38.3,1,2022,22
2022-01-22,Mangoes,Fruits,Spring,medium,medium,73.37182585660372,62.81,1,2022,22
2022-01-22,Grapes,Fruits,Spring,medium,medium,130.0724679558225,117.1,1,2022,22
2022-01-22,Rice,Grains,Spring,low,high,163.69313221401953,115.81,1,2022,22
2022-01-22,Wheat,Grains,Spring,high,medium,163.2426804984982,172.95,1,2022,22
2022-01-22,Corn,Grains,Spring,high,medium,124.19568119136056,131.82,1,2022,22
2022-01-22,Barley,Grains,Spring,high,low,103.80764326384283,122.73,1,2022,22
2022-01-22,Oats,Grains,Spring,medium,none,126.34998690242193,114.66,1,2022,22
2022-01-22,Milk,Dairy,Spring,medium,medium,168.06810091873848,139.98,1,2022,22
2022-01-22,Cheese,Dairy,Spring,low,high,114.00378680986479,73.12,1,2022,22
2022-01-22,Butter,Dairy,Spring,medium,none,132.12028564742005,124.04,1,2022,22
2022-01-22,Yogurt,Dairy,Spring,high,medium,94.04370291020214,102.07,1,2022,22
2022-01-22,Cream,Dairy,Spring,medium,high,43.894176003734565,38.91,1,2022,22
2022-01-22,Chicken,Meat,Spring,high,medium,27.39215301821764,31.66,1,2022,22
2022-01-22,Beef,Meat,Spring,low,low,34.12214864160787,28.33,1,2022,22
2022-01-22,Pork,Meat,Spring,low,high,170.47642169219705,113.81,1,2022,22
2022-01-22,Fish,Meat,Spring,low,medium,51.192977612752244,35.02,1,2022,22
2022-01-22,Lamb,Meat,Spring,low,high,118.86079964710169,87.85,1,2022,22
2022-01-29,Tomatoes,Vegetables,Spring,low,medium,134.88870689180305,100.17,1,2022,29
2022-01-29,Potatoes,Vegetables,Spring,low,medium,98.42112176202039,64.45,1,2022,29
2022-01-29,Onions,Vegetables,Spring,high,none,121.88669788893374,146.42,1,2022,29
2022-01-29,Carrots,Vegetables,Spring,low,medium,81.53834000895228,53.32,1,2022,29
2022-01-29,Spinach,Vegetables,Spring,low,high,173.9829051219813,106.88,1,2022,29
2022-01-29,Apples,Fruits,Spring,low,medium,157.40559614070398,109.85,1,2022,29
2022-01-29,Bananas,Fruits,Spring,low,medium,103.64128632913005,67.88,1,2022,29
2022-01-29,Oranges,Fruits,Spring,medium,high,190.84623168644947,158.15,1,2022,29
2022-01-29,Mangoes,Fruits,Spring,medium,high,132.65478482856255,120.8,1,2022,29
2022-01-29,Grapes,Fruits,Spring,high,low,138.56485369141012,154.92,1,2022,29
2022-01-29,Rice,Grains,Spring,high,high,125.4396046292234,140.7,1,2022,29
2022-01-29,Wheat,Grains,Spring,low,none,89.87058671717395,76.37,1,2022,29
2022-01-29,Corn,Grains,Spring,high,none,167.71510563391197,238.14,1,2022,29
2022-01-29,Barley,Grains,Spring,low,none,182.96311555209147,138.02,1,2022,29
2022-01-29,Oats,Grains,Spring,low,medium,87.90663498103565,64.79,1,2022,29
2022-01-29,Milk,Dairy,Spring,medium,high,80.57975867997078,66.92,1,2022,29
2022-01-29,Cheese,Dairy,Spring,medium,low,142.69046041510217,129.07,1,2022,29
2022-01-29,Butter,Dairy,Spring,medium,none,109.28674177281312,105.97,1,2022,29
2022-01-29,Yogurt,Dairy,Spring,low,none,188.5966673340273,164.99,1,2022,29
2022-01-29,Cream,Dairy,Spring,low,none,118.63493898465572,96.21,1,2022,29
